epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3456,1.08705,3.55089,1.28901,0.01159,0.34426,0.16599,0.13212,0.72653,3.79944,1.06718,7.5e-05,7.5e-05,7.5e-05
2,66.3976,0.87491,2.95045,1.13862,0.02558,0.31093,0.22756,0.16841,0.66936,3.59613,0.96614,0.000159282,0.000159282,0.000159282
3,98.8107,0.8755,1.8613,1.09934,0.03876,0.26186,0.22211,0.14201,0.76844,3.45845,1.01479,0.0002401,0.0002401,0.0002401
4,130.556,0.8551,1.40843,1.11556,0.08709,0.68354,0.47773,0.38277,0.74742,3.2453,1.01124,0.000317452,0.000317452,0.000317452
5,164.16,0.85996,1.2648,1.08771,0.96184,0.19565,0.59266,0.48324,0.78396,2.98242,1.00064,0.00039134,0.00039134,0.00039134
6,196.513,0.83206,1.16613,1.06493,0.95841,0.21739,0.6939,0.54507,0.80144,2.89343,1.04155,0.000461763,0.000461763,0.000461763
7,228.467,0.83645,1.06068,1.06606,0.98834,0.16304,0.50221,0.38204,0.90977,3.09119,1.12823,0.00052872,0.00052872,0.00052872
8,259.391,0.79061,1.05111,1.02226,0.97781,0.18478,0.6144,0.46556,0.97116,2.95725,1.1583,0.000592213,0.000592213,0.000592213
9,289.252,0.78148,0.98459,1.04125,0.94441,0.20652,0.74989,0.52014,0.94103,2.73921,1.18141,0.00065224,0.00065224,0.00065224
10,319.826,0.73014,0.94296,1.01289,0.94156,0.21739,0.76928,0.5795,0.86742,2.61008,1.09748,0.000708803,0.000708803,0.000708803
11,352.673,0.76737,0.93587,1.01826,0.90842,0.34036,0.78555,0.58248,0.8952,2.45463,1.13252,0.0007619,0.0007619,0.0007619
12,383.788,0.76189,0.89142,1.01375,0.84564,0.2685,0.61784,0.44643,0.97572,2.74378,1.24242,0.000811533,0.000811533,0.000811533
